model,params,config,batch_size,bpt,tokens_per_sec,energy_total_J,energy_per_token_J,energy_per_bit_J,mean_power_W,temp_K,E_landauer_J,phi,log10_phi,elapsed_time_s
EleutherAI/pythia-1b,1011781632,int8,1,8.887226872976154,76555.15806380959,18.292039823532104,0.0018292039823532104,0.00020582393231294283,140.035,325.15,3.11166261494449e-21,6.614596689384803e+16,16.820503369171377,0.13062477111816406
EleutherAI/pythia-1b,1011781632,int4,1,8.999937423045605,77006.61687486689,16.683631253242492,0.0016683631253242492,0.00018537496950280687,128.475,322.15,3.0829528260937025e-21,6.012903211940766e+16,16.779084213182212,0.12985897064208984
EleutherAI/pythia-1b,1011781632,fp16_compiled,1,8.8984979279831,36465.73999047126,87.43366607030232,0.008743366607030232,0.0009825665722228215,318.8333333333333,334.15,3.1977919814968517e-21,3.072640678030885e+17,17.487511775787592,0.2742300033569336
EleutherAI/pythia-1b,1011781632,fp16_batch_bs1,1,8.8984979279831,77872.16819466259,11.052729363441467,0.0011052729363441466,0.00012420893338283484,86.07,321.15,3.0733828964767737e-21,4.0414402489590184e+16,16.606536162315763,0.12841558456420898
EleutherAI/pythia-1.4b,1414647808,fp32,1,9.335282954309978,8164.467247753961,622.0626338353158,0.06220626338353157,0.006663564852612395,507.88100000000003,342.15,3.2743514184322845e-21,2.0350793183349944e+18,18.308581340757254,1.2248196601867676
EleutherAI/pythia-1.4b,1414647808,fp16,1,9.332433545750483,32709.50620335977,116.46970892747244,0.011646970892747244,0.0012480100539318262,380.9666666666667,340.15,3.255211559198426e-21,3.8338830863550394e+17,17.58363886500395,0.3057215213775635
EleutherAI/pythia-1.4b,1414647808,int8,1,9.338069073253955,20964.413063971315,174.97747200489044,0.017497747200489043,0.0018738078571945878,366.83,336.9,3.2241092879434065e-21,5.811862098476977e+17,17.76431530098369,0.47699880599975586
EleutherAI/pythia-1.4b,1414647808,int4,1,9.39442434828868,32433.12795387623,113.35529129028322,0.011335529129028321,0.0012066230679789593,367.6466666666667,333.15,3.188222051879923e-21,3.784626818158662e+17,17.57802306248744,0.30832672119140625
EleutherAI/pythia-1.4b,1414647808,fp16_compiled,1,9.332433545750483,16504.482723884357,275.9880498046874,0.027598804980468742,0.0029572999202374,455.5039999999999,338.34999999999997,3.2379856858879538e-21,9.133146984330843e+17,17.960620447023814,0.60589599609375
EleutherAI/pythia-1.4b,1414647808,fp16_batch_bs1,1,9.332433545750483,32235.38580131868,116.5199848953883,0.01165199848953883,0.0012485487769526695,375.60666666666674,334.15,3.1977919814968517e-21,3.904408992758301e+17,17.591555304382613,0.31021809577941895
